iter	RMSE
0	14.71393005
1	14.44486428
2	14.19791267
3	13.92831302
4	13.6758216
5	13.46448853
6	13.22738451
7	13.01783553
8	12.81701042
9	12.5940742
10	12.35765356
11	12.17016294
12	11.96912615
13	11.77557466
14	11.5721762
15	11.36596713
16	11.170803
17	10.98514578
18	10.80580346
19	10.64495718
20	10.49583539
21	10.34348538
22	10.19923658
23	10.04895684
24	9.901034883
25	9.768537476
26	9.631274944
27	9.517594892
28	9.385104797
29	9.269950703
30	9.144384215
31	9.027065501
32	8.9143088
33	8.806405491
34	8.689712923
35	8.582588006
36	8.480740093
37	8.394002892
38	8.296332846
39	8.208522085
40	8.119545123
41	8.032994252
42	7.94915794
43	7.883008962
44	7.800750648
45	7.724977907
46	7.648660708
47	7.578683721
48	7.509073127
49	7.446097902
50	7.375621965
51	7.30866223
52	7.24409417
53	7.187619333
54	7.12588326
55	7.067221641
56	7.015309635
57	6.963906406
58	6.915797045
59	6.868929784
60	6.824171602
61	6.781844506
62	6.742551676
63	6.698044943
64	6.651598342
65	6.604558772
66	6.564558719
67	6.531097689
68	6.491953389
69	6.453946719
70	6.415765723
71	6.387019349
72	6.354190201
73	6.318282631
74	6.286266203
75	6.253398179
76	6.223060376
77	6.199666991
78	6.175510647
79	6.147207403
80	6.119080976
81	6.097606453
82	6.072194342
83	6.049475437
84	6.024689387
85	6.002635962
86	5.981465132
87	5.959373703
88	5.936812835
89	5.916631274
90	5.894188317
91	5.874566476
92	5.853445179
93	5.837096898
94	5.819512818
95	5.801423188
96	5.78664334
97	5.769906329
98	5.755928014
99	5.741308192
100	5.727213174
101	5.71499346
102	5.700710891
103	5.684368784
104	5.673194051
105	5.660259419
106	5.644245859
107	5.632048429
108	5.621609457
109	5.609520227
110	5.597071492
111	5.584870827
112	5.570276789
113	5.556178462
114	5.5497089
115	5.539579521
116	5.529042063
117	5.519078131
118	5.511093038
119	5.499937078
120	5.491332701
121	5.482446814
122	5.474609429
123	5.464990827
124	5.455880193
125	5.448930038
126	5.441892461
127	5.432700365
128	5.422813215
129	5.415516622
130	5.405927204
131	5.396675858
132	5.388167547
133	5.380227183
134	5.372871624
135	5.364503941
136	5.356259568
137	5.348747228
138	5.34530205
139	5.336213677
140	5.32898333
141	5.323101061
142	5.31731183
143	5.311234931
144	5.307188922
145	5.302160677
146	5.298160441
147	5.292961988
148	5.28850998
149	5.282570649
150	5.275501017
151	5.274040712
152	5.270352668
153	5.265033485
154	5.260717209
155	5.255423096
156	5.250860823
157	5.245628755
158	5.241625863
159	5.236837567
160	5.231211745
161	5.227847288
162	5.221519688
163	5.217565865
164	5.210902807
165	5.207270246
166	5.202659171
167	5.199965369
168	5.19604394
169	5.191905684
170	5.18891312
171	5.185559189
172	5.179635354
173	5.173798969
174	5.168700159
175	5.165587032
176	5.161419765
177	5.159423633
178	5.153694985
179	5.151553785
180	5.147395616
181	5.142775515
182	5.138255052
183	5.132924881
184	5.129200144
185	5.12580286
186	5.121360197
187	5.119415491
188	5.116929945
189	5.114372337
190	5.109256003
191	5.10759346
192	5.103436761
193	5.101091035
194	5.095801718
195	5.093691354
196	5.093018113
197	5.08949275
198	5.085699561
199	5.081060092
200	5.077156453
201	5.074187057
202	5.069845635
203	5.06693461
204	5.064055861
205	5.061245105
206	5.058035554
207	5.054842063
208	5.049313115
209	5.047310071
210	5.043269793
211	5.039976611
212	5.035409165
213	5.033560507
214	5.029920027
215	5.026151046
216	5.022667717
217	5.020349198
218	5.017738629
219	5.014495883
220	5.01047741
221	5.00726444
222	5.002853212
223	4.999213232
224	4.996635307
225	4.993556691
226	4.989958497
227	4.986596419
228	4.982496077
229	4.980587308
230	4.976133209
231	4.974122403
232	4.971620043
233	4.969196425
234	4.966844757
235	4.964825469
236	4.960598496
237	4.958046258
238	4.955000715
239	4.953189855
240	4.950321559
241	4.948078371
242	4.946005334
243	4.94337814
244	4.941140819
245	4.937779669
246	4.934588689
247	4.931581904
248	4.929795635
249	4.926381872
250	4.923825168
251	4.920397089
252	4.917005837
253	4.9129695
254	4.910612731
255	4.906419423
256	4.904986095
257	4.901706901
258	4.898922452
259	4.897336558
260	4.894509231
261	4.892782684
262	4.889388732
263	4.889146438
264	4.887353331
265	4.885649706
266	4.884686429
267	4.881741032
268	4.879382868
269	4.879046289
270	4.876697311
271	4.874525333
272	4.872053523
273	4.867600763
274	4.864840934
275	4.861831772
276	4.860581603
277	4.858679156
278	4.853324561
279	4.851011536
280	4.849291487
281	4.847196713
282	4.844203515
283	4.841145193
284	4.839172107
285	4.837738117
286	4.835690521
