iter	Passed	Remaining
0	1	213
1	2	249
2	4	278
3	5	289
4	6	272
5	8	258
6	8	243
7	9	231
8	11	237
9	12	232
10	13	226
11	14	229
12	16	233
13	17	237
14	19	236
15	20	230
16	20	225
17	21	219
18	22	217
19	23	214
20	24	211
21	25	209
22	27	209
23	28	209
24	30	215
25	32	214
26	32	209
27	33	204
28	33	199
29	34	196
30	35	193
31	35	188
32	36	186
33	37	184
34	38	182
35	39	180
36	41	181
37	41	178
38	42	176
39	43	173
40	44	171
41	44	168
42	45	165
43	46	164
44	47	161
45	47	159
46	48	158
47	49	157
48	50	156
49	52	156
50	53	155
51	53	152
52	54	150
53	54	148
54	55	146
55	56	144
56	56	142
57	57	140
58	58	139
59	58	137
60	60	137
61	61	136
62	62	135
63	63	134
64	64	133
65	65	132
66	65	130
67	66	128
68	66	126
69	67	125
70	68	123
71	68	122
72	69	120
73	69	118
74	70	118
75	72	118
76	73	117
77	74	117
78	75	116
79	76	114
80	76	113
81	77	111
82	78	110
83	78	108
84	79	107
85	80	106
86	80	104
87	81	103
88	82	102
89	83	102
90	84	101
91	85	100
92	86	100
93	87	98
94	88	97
95	88	96
96	89	94
97	90	93
98	90	92
99	91	91
100	91	89
101	92	88
102	93	87
103	94	87
104	95	86
105	96	85
106	98	85
107	98	84
108	99	83
109	99	81
110	100	80
111	101	79
112	101	78
113	102	77
114	102	76
115	103	74
116	104	73
117	104	72
118	106	72
119	107	71
120	108	71
121	110	70
122	110	69
123	111	68
124	111	67
125	112	66
126	112	64
127	113	64
128	114	63
129	115	61
130	115	60
131	116	59
132	117	59
133	118	58
134	119	57
135	121	57
136	122	56
137	123	55
138	124	54
139	124	53
140	125	52
141	126	51
142	126	50
143	127	49
144	128	48
145	129	47
146	131	47
147	132	46
148	133	45
149	133	44
150	134	43
151	134	42
152	135	41
153	136	40
154	137	39
155	137	38
156	138	37
157	139	36
158	139	36
159	141	35
160	142	34
161	144	33
162	145	33
163	146	32
164	146	31
165	147	30
166	148	29
167	148	28
168	149	27
169	149	26
170	150	25
171	150	24
172	151	23
173	152	22
174	153	21
175	155	21
176	156	20
177	157	19
178	158	18
179	158	17
180	159	16
181	160	15
182	160	14
183	161	14
184	161	13
185	162	12
186	163	11
187	164	10
188	165	9
189	166	8
190	167	7
191	168	7
192	169	6
193	170	5
194	170	4
195	171	3
196	172	2
197	172	1
198	173	0
199	173	0
